submission_id,response,row_number,framing,,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred
11638,40% of pupils achieved 100% on their exam scores,12|12|3|3|3,high,,num,num,Non-mono,Non-mono,4,10,no,high,,,,,,,,
11638,"Nobody achieved a 100% score, the highest mark was 75%",9|9|9|9|9,low,,Non-num,num,down,Non-mono,0,10,no,high,,,,,,,,
11638,No pupils managed to achieve any score on their test results,0|0|0|0|0,low,,Non-num,Non-num,down,down,0,0,no,low,,,,,,,,
11638,"High success from pupils, 3 out of 5 achieving marks of 75% or above",12|12|9|0|0,high,,num,num,Non-mono,up,6,7.5,no,high,,,,,,,,
11638,Over half of pupils received a score or 75%,9|9|9|0|0,high,,Non-num,num,up,Non-mono,6,7.5,no,high,,,,,,,,
11638,Less than half of pupils achieved 75%,9|9|0|0|0,low,,Non-num,num,down,Non-mono,4,7.5,no,high,,,,,,,,
11638,"All pupils received a mark, some achieving up to 75%",9|9|3|3|3,high,,Non-num,Non-num,up,up,10,2,no,high,Non-num,num,up,down,2,7.5,down,high
11638,"All pupils received a score, 3 out of 5 achieving 75% or above",12|12|9|3|3,high,,Non-num,Non-num,up,up,10,2,no,high,num,num,Non-mono,up,6,7.5,up,high
11638,Over half of pupils recieved a 100% score,12|12|12|0|0,high,,Non-num,num,up,up,6,10,no,high,,,,,,,,
11638,Over half of the pupils recieved less than a 50% score,9|9|3|0|0,low,,Non-num,num,up,down,6,5,no,high,,,,,,,,
11638,Scores were all 25% or below,3|3|3|0|0,low,,Non-num,num,up,down,10,2.5,no,high,,,,,,,,
11641,"Two of our students performed well, with room for improvement which Green Valley school is all about!",3|3|0|0|0,high,,,,,,,,,,,,,,,,,
11641,none of the students from riverside managed to answer all the questions correctly,3|3|3|3|3,low,,Non-num,Non-num,down,up,0,10,no,right,,,,,,,,
11641,Two of the students failed to even get half the questions correct,9|9|9|3|3,low,,num,Non-num,Non-mono,down,2,4,no,low,,,,,,,,
11641,The majority of the students got over 9/12 questions correct,12|12|9|0|0,high,,Non-num,num,up,up,6,7.5,no,high,,,,,,,,
11641,3 out of the 5 students failed to even get one question correct,12|12|0|0|0,low,,num,num,Non-mono,down,6,0,no,low,,,,,,,,
11641,Majority of our students passed with full marks,12|12|12|0|0,high,,Non-num,no,up,up,6,10,no,high,,,,,,,,
11641,two of the studnets failed the test scoring zero marks and one student only got 3/12 answers correct,12|12|3|0|0,low,,num,num,Non-mono,down,4,0,no,high,num,num,Non-mono,Non-mono,2,2.5,no,high
11641,Barely any of the questions were answered correctly.,3|3|3|0|0,high,,Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
11641,3 of the students wasnt able to hit full marks,12|12|9|3|3,low,,num,Non-num,Non-mono,up,6,10,yes,high,,,,,,,,
11641,All of the students tried there best and there is room to improve with the support of the teaching staff here at green valley,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11641,3 of our students got full marks with the rest narrowly missing out on full marks,12|12|12|9|9,high,,num,Non-num,Non-mono,up,6,10,no,high,num,Non-num,Non-mono,Non-mono,4,9,no,high
11625,two of the students performed exceptionally,9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11625,"most of the students answered most of the questions correctly, with some getting full marks",12|12|9|9|9,high,,Non-num,up,Non-mono,up,6,6,no,high,Non-num,Non-num,up,up,2,10,no,high
11625,100% of students got less than 50% correct,3|3|3|3|3,low,,num,num,Non-mono,down,10,4,no,high,,,,,,,,
11625,most of the students got most of the questions right,12|12|9|0|0,low,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11625,most of the questions were answered incorrectly,3|3|3|0|0,low,,Non-num,no,up,,6,,no,low,,,,,,,,
11625,some of the questions were answered incorrectly,12|12|12|9|9,low,,Non-num,no,up,,2,,no,low,,,,,,,,
11625,"most of the questions were answered incorrectly, with none of the students getting full marks",9|9|3|0|0,low,,Non-num,no,up,,6,,no,low,Non-num,Non-num,down,up,0,10,no,high
11625,some of the students failed completely,12|12|12|0|0,low,,Non-num,no,up,,2,,no,low,,,,,,,,
11625,most of the students failed completely,12|12|0|0|0,low,,Non-num,no,up,,6,,no,low,,,,,,,,
11625,most of the questions were answered correctly with some students getting full marks,12|12|9|3|3,high,,Non-num,no,up,,6,,no,high,Non-num,Non-num,up,up,2,10,no,high
11625,there are two star students that got full marks,12|12|3|0|0,high,,num,Non-num,Non-mono,up,2,10,no,high,,,,,,,,
11629,two thirds of students got this correct.,9|9|3|0|0,high,,,,,,,,,,,,,,,,,
11629,just less than half answered this correctly.,9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11629,around half of students struggled with this test.,12|12|9|3|3,low,,,,,,,,,,,,,,,,,
11629,"all students experienced difficulty, with only 3 getting some uestions correct.",9|9|9|0|0,low,,,,,,,,,,num,Non-num,Non-mono,up,3,2,no,high
11629,less than half of students found success in this test.,12|12|3|0|0,low,,,,,,,,,,,,,,,,,
11629,all students got 100% for the first part of the test.,12|12|3|3|3,high,,Non-num,num,up,Non-mono,10,5,no,high,,,,,,,,
11629,just short of 100% success rate for these students.,12|12|9|9|9,high,,num,no,down,,10,,no,high,,,,,,,,
11629,over half of students got 0%.,12|12|0|0|0,low,,Non-num,num,up,down,6,0,no,high,,,,,,,,
11629,all questions answered incorrectly apart from 2 students getting 3 answers correct each.,3|3|0|0|0,low,,Non-num,no,down,,10,0,no,low,num,num,Non-mono,Non-mono,4,3,no,high
11629,Only just over half of students scored some correct answers.,9|9|9|3|3,low,,Non-num,Non-num,Non-mono,up,6,2,no,high,,,,,,,,
11629,2 thirds of students had some success in the tests.,3|3|3|0|0,high,,num,Non-num,Non-mono,up,7,2,no,high,,,,,,,,
11644,As i see Lisa and Rebecca got full mark. Daniel has done  3 wrong answer. Whereas  Johann and Chris have answered only 3 question properly. So Lisa And Rebecca are good Students.,12|12|9|3|3,low,,,,,,,,,,,,,,,,,
11644,According The table Thomas And Alex are better than Others.,9|9|3|3|3,low,,,,,,,,,,,,,,,,,
11644,According the table Tim and Theresa Are The worst student.,3|3|3|0|0,high,,,,,,,,,,,,,,,,,
11644,"According to the answer table Julian, Julia and Tim  have done well.",12|12|12|0|0,high,,,,,,,,,,,,,,,,,
11644,It seems from the table that Amy and Susanne Are good.,12|12|0|0|0,high,,,,,,,,,,,,,,,,,
11644,Tim and Lesly is nothing for Good.,9|9|9|3|3,low,,,,,,,,,,,,,,,,,
11644,According to the answer table All students have done well.,12|12|12|12|12,high,,,,,,,,,,,,,,,,,
11644,Alex and Julian much better than others.,9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11644,According to the Table jan Tim and Johann have done well.,12|12|12|3|3,high,,,,,,,,,,,,,,,,,
11644,According to the table Rebecca and Amy are good for nothing.,12|12|9|0|0,high,,,,,,,,,,,,,,,,,
11644,According to the table all have done very bad.,0|0|0|0|0,low,,,,,,,,,,,,,,,,,
11642,"Though the students struggled, with more revising, all student have a chance of achieving full marks.",0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11642,The vast majority of students achieve the highest degree of success.,12|12|12|0|0,high,,Non-num,num,up,up,7,10,no,high,,,,,,,,
11642,"The majority of students showed an average understanding that, with further study, could increase the chances of success significantly.",3|3|3|0|0,high,,,,,,,,,,,,,,,,,
11642,All students show an average to high success pattern.,9|9|9|3|3,high,,,,,,,,,,,,,,,,,
11642,"From these results, the students show a distinct lack of aptitude, with only a few achieving low marks.",3|3|0|0|0,low,,,,,,,,,,,,,,,,,
11642,Many of the students failed to achieve any marks whatsoever.,9|9|0|0|0,low,,Non-num,Non-num,up,down,4,0,no,low,,,,,,,,
11642,"Though results were good enough for most, several students struggled, suggesting a lack of adequate revising.",12|12|12|9|9,low,,,,,,,,,,,,,,,,,
11642,"All students performed well, but whether these results can be maintained in further exams remains to be seen.",12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11642,"A minority of students struggled, but the vast majority of participants achieved impressive marks.",12|12|9|0|0,high,,,,,,,,,,,,,,,,,
11642,"Results were passable for the majority, but all struggled with the questions, including two achieving zero marks.",9|9|9|0|0,low,,,,,,,,,,,,,,,,,
11642,Results ran the spectrum with most students achieving mediocre marks.,9|9|3|0|0,low,,,,,,,,,,,,,,,,,
11633,Most students got all the questions wrong,3|3|0|0|0,low,,Non-num,Non-num,up,up,6,10,no,low,,,,,,,,
11633,Some students didn't get all the questions right,12|12|12|9|9,low,,Non-num,Non-num,up,up,2,10,yes,high,,,,,,,,
11633,Some students got all the questions right,12|12|3|0|0,high,,Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
11633,All of the students got most of the questions right,9|9|9|9|9,high,,Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
11633,Most of the questions were answered incorrectly by all students,3|3|3|0|0,low,,Non-num,Non-num,up,up,6,10,no,low,,,,,,,,
11633,A number of students got most of the questions right,9|9|3|0|0,high,,Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
11633,The students answered the questions correctly,12|12|12|12|12,low,,Non-num,Non-num,up,up,10,10,no,high,,,,,,,,
11633,Not all the questions were answered correctly by all students,9|9|9|0|0,low,,Non-num,Non-num,up,up,10,10,yes,high,,,,,,,,
11633,Most of the students didn't get all the questions right,12|12|9|0|0,low,,Non-num,Non-num,up,up,6,10,yes,high,,,,,,,,
11633,Most of the students only got three questions right,12|12|3|3|3,low,,Non-num,num,up,Non-mono,6,2.5,no,high,,,,,,,,
11633,Most of the students got full marks,12|12|12|3|3,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11643,All students achieved 74% or above,9|9|9|9|9,high,,Non-num,num,up,up,10,7.4,no,high,,,,,,,,
11643,ALL students achieved 100%,12|12|12|12|12,high,,Non-num,num,up,up,10,10,no,high,,,,,,,,
11643,All students studied the course content,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11643,40% achieved absolutely NO marks,12|12|12|0|0,low,,num,Non-num,Non-mono,down,4,0,no,high,,,,,,,,
11643,60% of pupils achieved NO marks,12|12|0|0|0,low,,num,Non-num,Non-mono,down,6,0,no,high,,,,,,,,
11643,ALL Only achieved below 26%,3|3|3|3|3,low,,Non-num,num,up,down,10,2.6,no,high,,,,,,,,
11643,Most pupils achieved 74% and above,9|9|9|0|0,high,,Non-num,num,up,up,6,7.4,no,high,,,,,,,,
11643,40% of students achieved higher grades than the average,3|3|0|0|0,high,,,,,,,,,,,,,,,,,
11643,"40% of students achieving 100%, with 20% achieving over 74%",12|12|9|0|0,high,,num,num,Non-mono,up,4,10,no,high,num,num,Non-mono,up,2,7.4,no,high
