submission_id,QUD,RT,age,bias,choice_options_1,choice_options_2,choice_options_3,column_number,comments,condition,correct,education,endTime,expected,experiment_id,gender,languages,prolific_id,question,response,row_number,sentence_chunk_1,sentence_chunk_2,sentence_chunk_3,sentence_chunk_4,startDate,startTime,stimulus,timeSpent,trial_name,trial_number
11659,,37493,28,0.9,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,high,NA,Higher Degree,1580380639093,NA,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,most|all|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7.26535,training_trials,1
11659,,36236,28,0.2,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,high,NA,Higher Degree,1580380639093,NA,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,some|many|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|0|1|1|1|1|1|0|1|1|0|1|0|0|1|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1,7.26535,training_trials,2
11659,,30311,28,0.5,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,low,NA,Higher Degree,1580380639093,NA,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,many|some|wrong,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|1|0|1|0|1|1|0|1|0|0|0|0|1|1|1|0|0|0|0|0|1|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|1|1|1|1|1|0|1,7.26535,training_trials,3
11659,,13751,28,0.8,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,low,placeholder,Higher Degree,1580380639093,placeholder,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,some|some|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,1|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0,7.26535,main_trials,1
11659,,18063,28,0.4,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,high,placeholder,Higher Degree,1580380639093,placeholder,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,some|many|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|1|0|1|1|0|1|1|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|1|1|1|0|1|0|0|1|1|1|1|1|1|1|0,7.26535,main_trials,2
11659,,17574,28,0.2,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,low,placeholder,Higher Degree,1580380639093,placeholder,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,few|many|wrong,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|0|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|0|1|0|1|0|1|1|1|1|0|1|0|1|0|0|1|1|1,7.26535,main_trials,3
11659,,8191,28,0.5,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,low,placeholder,Higher Degree,1580380639093,placeholder,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Riverside</strong> so as to make it appear as if there is a <strong>low</strong> success rate without lying.,some|some|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|1|0|1|1|1|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|1|1|0|0|0|1|1|0|1|1|0|1|0|0|1|1|0|1|1|0|1|1|1|0|0|1|1|1|0|0|0|1|1|1|1|1|0,7.26535,main_trials,4
11659,,11975,28,0.8,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,high,placeholder,Higher Degree,1580380639093,placeholder,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,most|all|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7.26535,main_trials,5
11659,,11671,28,0.7,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,high,placeholder,Higher Degree,1580380639093,placeholder,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,most|all|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1,7.26535,main_trials,6
11659,,9429,28,0.6,all|most|many|some|few|none,all|most|many|some|few|none,right|wrong,12,n/a,high,placeholder,Higher Degree,1580380639093,placeholder,82,female,English,5d516ec3ca214b001640d9fe,Describe these results of <strong>Green Valley</strong> so as to make it appear as if there is a <strong>high</strong> success rate without lying.,many|many|right,5,In this exam,of the students got,of the questions,.,Thu Jan 30 2020 10:30:03 GMT+0000 (Greenwich Mean Time),1580380203172,0|0|1|0|1|0|0|1|0|0|1|1|1|0|1|1|1|0|1|0|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|1|1|0|1|1|1|1|1|0|1|0|0|0|1|0|0|0|1|0|1|0|0|1|1,7.26535,main_trials,7
